國史館臺灣文獻館典藏管理系統-資料目錄,,,,,,
輸出數量：,44,,,,,
,,,,,,
no,data_type,數位典藏號,title,檔案系列,date_from,date_stop
1,卷,006-430358,美援物資器材及款項運用須知考核工作程序,臺灣鹽業/戰後/總類,1954-01-01,1954-01-31
2,卷,006-450160,行政院美援運用委員會函發美援物資器材使用及移轉辦法,臺灣鹽業/戰後/場產,1956-01-01,1956-01-31
3,卷,006-461070,函為美援物資採購簡化程序及加置美援標誌,臺灣鹽業/戰後/業務,1957-01-01,1957-01-31
4,卷,006-520594,美援四八○公法第二章計畫物資發放日記帳,臺灣鹽業/戰後/∅,1963-01-01,1963-01-31
5,卷,010-10502,美援物資搾製,臺灣省政府糧食處,1953-05-29,1953-05-30
6,卷,010-10512,美援物資合約,臺灣省政府糧食處,1953-02-13,1953-10-26
7,卷,010-10930,美援物資手續費,臺灣省政府糧食處,1954-10-16,1954-12-10
8,卷,010-10931,美援物資價款,臺灣省政府糧食處,1954-06-09,1954-06-17
9,卷,010-10932,美援物資搾製油,臺灣省政府糧食處,1954-10-16,1954-10-18
10,卷,010-10933,美援物資合約,臺灣省政府糧食處,1954-03-23,1954-03-24
11,卷,010-11023,美援物資價款,臺灣省政府糧食處,1955-02-18,1955-08-13
12,卷,010-11337,美援物資價款,臺灣省政府糧食處,1955-11-23,1955-11-28
13,卷,010-11736,違反美援物資,臺灣省政府糧食處,1956-03-22,1956-12-25
14,卷,010-17556,美援物資,臺灣省政府糧食處,1966-03-11,1966-03-31
15,卷,010-26152,美援物資,臺灣省政府糧食處,1954-07-13,1954-12-06
16,卷,010-26594,美援物資（1）,臺灣省政府糧食處,1955-03-04,1955-03-09
17,卷,010-26595,美援物資（2）,臺灣省政府糧食處,1955-08-30,1955-10-12
18,卷,010-27101,美援物資,臺灣省政府糧食處,1956-01-04,1956-02-23
19,卷,016-00166,美援物資運用月報表（1）,臺灣工礦股份有限公司,1954-10-06,1954-12-17
20,卷,016-00530,美援物資運用月報表,臺灣工礦股份有限公司,1955-01-14,1955-04-13
21,卷,017-04706,美援物資,臺灣省菸酒公賣局,1954-12-01,1955-12-24
22,卷,017-05889,美援物資,臺灣省菸酒公賣局,1955-12-23,1956-12-21
23,卷,017-06487,美援物資器材運用規定,臺灣省菸酒公賣局,1957-01-04,1957-09-17
24,卷,017-06619,美援物資運用報告,臺灣省菸酒公賣局,1957-01-14,1957-12-17
25,卷,017-08035,美援物資運用報告,臺灣省菸酒公賣局,1958-01-15,1958-12-22
26,卷,017-09584,美援物資運用報告,臺灣省菸酒公賣局,1959-01-12,1959-11-30
27,卷,017-11341,美援物資運用報告,臺灣省菸酒公賣局,1960-01-06,1960-12-19
28,卷,017-13221,美援物資撥用及報告,臺灣省菸酒公賣局,1961-01-26,1961-08-22
29,卷,017-13222,洽購日本地區美援剩餘物資,臺灣省菸酒公賣局,1961-04-07,1961-05-22
30,卷,017-13786,外購物資匯兌及美援規定（1）,臺灣省菸酒公賣局,1960-12-12,1961-07-07
31,卷,017-13787,外購物資匯兌及美援規定（2）,臺灣省菸酒公賣局,1961-07-22,1962-02-23
32,卷,018-00343,美援物資裝運,臺灣航業股份有限公司,1952-12-31,1953-10-01
33,卷,018-00362,美援物資裝運,臺灣航業股份有限公司,1951-08-29,1951-09-18
34,卷,018-00375,美援物資裝運,臺灣航業股份有限公司,1952-05-07,1952-12-03
35,卷,018-00455,美援物資運輸,臺灣航業股份有限公司,1950-12-12,1950-12-31
36,卷,038-02942,美援物資運輸,臺灣區生產事業管理委員會,1952-03-17,1952-03-31
37,卷,064-03401,美援物資器材使用及移轉辦法,臺灣省政府交通處,1956-04-24,1956-04-30
38,卷,072-05561,美援物資（1）,臺灣省政府農林廳,1962-01-29,1962-09-06
39,卷,086-00058,美援物資,臺灣省政府建設廳,1960-01-12,1960-09-15
40,卷,086-00699,美援剩餘物資貸款（1）,臺灣省政府建設廳,1964-12-10,1966-08-08
41,卷,086-00700,美援剩餘物資貸款（2）,臺灣省政府建設廳,1966-08-24,1968-02-09
42,卷,086-03207,美援物資運用情況月報表（1）,臺灣省政府建設廳,1953-08-19,1953-12-21
43,卷,086-03208,美援物資運用情況月報表（2）,臺灣省政府建設廳,1950-12-19,1950-12-31
44,卷,086-03283,美援物資運用情況月報表,臺灣省政府建設廳,1954-02-20,1954-08-26
